entropy_mean,entropy_std,delta_mean,delta_std,pearson_r,p_value
3.423395785222446,0.07344423513945966,1.1643382211526234,0.016828274882538678,0.12835259045381434,0.16238310660757646
3.4153758024559275,0.07641510516571182,1.1619546373685201,0.026090031621852028,0.3599625878502895,5.387608870977334e-05
3.4116294034637775,0.06496880290793762,1.1626789778470994,0.02254681701821889,0.11400909472310512,0.21501904266986274
3.4875235770987603,0.08184063100316881,1.430210115790367,0.020016461470239395,0.3005586883860849,2.52234343419105e-22
3.4668595147967007,0.08892865799667198,1.4308264096975327,0.014253160291415283,0.21467345075596966,6.875756971050458e-12
3.4458322153616847,0.08539556857023424,1.162284748752912,0.022013912087013168,-0.25388099997208924,0.00514178038007903
3.488196821981379,0.07047052685239738,1.4304784526824952,0.015286006741647337,0.22969084340715729,1.939479880782369e-13
3.49038248989992,0.08927026016015494,1.4295042077302933,0.01431468058701435,-0.07521616623721131,0.017362517025871323
3.440131047214649,0.06287767766490761,1.16372795800368,0.017932047291381214,-0.07926627248262343,0.38946662349049493
3.5031398104948566,0.0663601189663967,1.4311331166028975,0.0188680718907451,-0.33099378299987836,5.4009393473057594e-27
