entropy_mean,entropy_std,delta_mean,delta_std,pearson_r,p_value
3.377059779951103,0.09771017654399641,1.7057947516441345,0.03588600945790186,-0.11027876532764139,0.23050464931628648
3.4032026810040747,0.10966149649030504,2.10895370054245,0.028702959670126534,0.0529264852235926,0.09437423553781896
3.4367928287610603,0.09307878248598662,2.108516897678375,0.028711652700736234,0.04499063335366715,0.15512229995473847
3.4188849322510015,0.09529648953224555,2.1082582943439485,0.031314657822336146,0.048497467826164084,0.12537238872426373
3.434359390986815,0.10033592005509846,2.1067736995220185,0.028845826713191667,-0.01763417524645561,0.5775360109988985
3.3796050552078087,0.08592765278467325,1.7079304883877435,0.038676142282881604,-0.15864438113825113,0.08351421413971856
3.444342750623316,0.08251370600875842,2.108660689353943,0.031268642732259336,-0.09364672163120578,0.003034892150953024
3.377244236578974,0.070428112301975,1.709622081120809,0.03708445369759791,-0.01246037499260904,0.8925540746944072
3.367405622701359,0.08336498061654224,1.7014624615510305,0.03787246846681231,0.017318233247623147,0.8510803838511071
3.3518078605075203,0.07095065303643722,1.7057612558205923,0.03926137218984761,0.04275821593797893,0.6428610345302934
